order_id,customer_id,email,msisdn,tenant_id,unit_price_cents,qty,amount_cents,region
1,1083,user7@example.co.ke,254762992312,globex,450,2,900,EA
2,1046,user75@example.co.ke,254722633920,initech,150,5,750,EA
3,1004,user12@example.co.ke,254738816302,acme,150,5,750,WA
4,1030,user12@example.co.ke,254719375836,globex,1200,4,4800,WA
5,1105,user73@example.co.ke,254717933677,initech,5000,4,20000,WA
6,1080,user75@example.co.ke,254794641177,acme,150,2,300,EA
7,1050,user7@example.co.ke,254788590039,globex,150,5,750,EA
8,1109,user18@example.co.ke,254784714297,initech,200,1,200,EA
9,1069,user16@example.co.ke,254729361589,acme,450,4,1800,WA
10,1104,user88@example.co.ke,254785196458,globex,5000,3,15000,WA
11,1073,user82@example.co.ke,254788061052,initech,200,1,200,WA
12,1070,user92@example.co.ke,254723076910,acme,200,3,600,EA
13,1079,user27@example.co.ke,254717999533,globex,150,5,750,EA
14,1099,user41@example.co.ke,254767390467,initech,1200,5,6000,EA
15,1046,user39@example.co.ke,254770825377,acme,1200,5,6000,WA
16,1010,user74@example.co.ke,254742762079,globex,200,2,400,WA
17,1112,user44@example.co.ke,254776453392,initech,450,5,2250,WA
18,1009,user16@example.co.ke,254791733095,acme,1200,3,3600,EA
19,1096,user44@example.co.ke,254732140838,globex,5000,4,20000,EA
20,1005,user86@example.co.ke,254766599395,initech,200,4,800,EA
21,1101,user113@example.co.ke,254786910239,acme,150,5,750,WA
22,1076,user64@example.co.ke,254757000147,globex,450,3,1350,WA
23,1107,user12@example.co.ke,254719229206,initech,5000,4,20000,WA
24,1008,user8@example.co.ke,254799141000,acme,450,4,1800,EA
25,1036,user92@example.co.ke,0769812891,globex,450,5,2250,EA
26,1120,user60@example.co.ke,254713028344,initech,1200,3,3600,EA
27,1014,user64@example.co.ke,254791996233,acme,450,2,900,WA
28,1016,user95@example.co.ke,254748578460,globex,150,2,300,WA
29,1117,user112@example.co.ke,254762472380,initech,200,4,800,WA
30,1057,user52@example.co.ke,254732329304,acme,1200,1,1200,EA
31,1104,user56@example.co.ke,254728377915,globex,5000,3,15000,EA
32,1045,user88@example.co.ke,254765740154,initech,5000,3,15000,EA
33,1010,user23@example.co.ke,254730256261,acme,1200,2,2400,WA
34,1029,user2@example.co.ke,254798384612,globex,200,2,400,WA
35,1033,user37@example.co.ke,254734473646,initech,1200,5,6000,WA
36,1068,user48@example.co.ke,254766230047,acme,150,2,300,EA
37,1016,user89@example.co.ke,254752763335,globex,5000,5,25000,EA
